english,francais
try,essai
base,base
national,sujet
evaluations,évaluation
hygiene,hygiène
distortions,déformation
compatible,compatible
await,attendre
United,s’unir
emphasised,souligner
incorporated,incorporer
1,10
build,appuyer
hunting,chasse
tabling,différer
prospect,perspective
film,film
stepped,mesurer
year,an
circumstance,cas
effect,cause
depend,dépendre
February,février
accepted,accepter
minimal,minimal
harmful,dangereux
structural,structurel
capitulation,capitulation
dissemination,diffusion
meagre,avare
needing,demander
interchange,échangeur
agrees,être_d'accord
lawyers,avocat
Authority,autorité
Research,recherche
India,Hyderabad
included,comporter
danger,danger
Nevertheless,cependant
accuse,accuser
provider,fournisseur
forming,administrer
appointed,appeler
citizens,citoyen
feeling,émotion
London,Grand_Londres
Reform,réforme
chapters,chapitre
misleading,égarer
Chamber,caisson
country,contrée
mix,bouquet
initial,initiale
presents,présent
oarsmen,avironneur
shamed,déshonneur
familiar,familier
supervising,supervision
prove,révéler
characterised,caractériser
lessons,leçon
inquiry,enquête
logic,logique
reinforces,armer
handled,diriger
ratified,infirmer
progress,amélioration
including,comporter
soon,bientôt
day,jour
Hence,ainsi
alike,pareil
emphasising,souligner
secrets,secret
befallen,tomber
suit,complet
unanimously,unanimement
Surely,absolument
zoning,zonage
chance,chance
thought,idée
proceedings,procédure
abolition,abolissement
dropping,causer
synergy,synergie
reserves,milice
difficulty,difficulté
colleague,collègue
finalised,achever
satellite,lune
livelihood,gagne-pain
spontaneously,spontanément
cooperate,collaborer
simultaneously,simultanément
intention,but
rank,rang
specific,particulier
gladly,heureusement
cows,bétail
reiterated,redire
misunderstandings,contresens
enforce,appliquer
shipbuilding,construction_navale
Moreover,de_plus
billions,bill
corrective,correcteur
weeks,semaine
champion,champion
Union,enterprise_union
ineffective,inutile
cultural,culturel
inspection,contrôle
Judging,arrêt
schedule,calendrier
Goods,bon
units,unité
significantly,fortement
break,interruption
brake,frein
rejections,refus
wanting,désirer
amending,amender
Member,membre
exploiting,exploiter
contrary,contradictoire
backed,accoter
commandment,commandement
penalised,pénaliser
FBI,Bureau_fédéral_d'investigation
ensuring,assurer
well,puits
appearance,apparence
numbers,Dunkeld
crust,croûte
predecessors,précédent
wherever,d'où
committed,commettre
persistence,continuité
expiry,échéance
symbol,symbole
somewhat,assez
entailed,comporter
Maritime,marin
Situation,situation
jobs,emploi
took,faire
equitably,équitablement
fleet,flotte
falters,barguigner
affords,être_en_mesure_de
Seven,10
inspections,contrôle
Korea,Corée
troubles,difficulté
politicians,homme_politique
consumers,consommateur
truth,réalité
tab,addition
Italy,Acquarossa
unbelievable,incroyable
sort,forme
near,approcher
Increased,accroître
sludge,lie
me,aidez
coinciding,coïncider
Europol,Europol
